Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Update 200 Random Products,66,1697,773,2370,442.33,19.697%,.54450,0.13,0.13,245.8
Get Top k Products,199,1059,800,1790,126.57,0.000%,1.64780,1.30,0.24,807.0
Get Product List,101,1028,784,1396,136.39,0.000%,.83922,2.46,0.11,3005.9
Delete 200 Random Products,81,1294,792,2284,514.73,60.494%,.67683,0.14,0.15,215.7
Rate 200 Random Products,81,1324,789,2134,505.55,55.556%,.67588,0.17,0.17,262.1
Get 200 Random Products,231,889,776,1603,121.33,58.442%,1.91899,0.49,0.26,261.4
Post 100 Products,100,1719,787,2341,412.12,18.000%,1.05911,0.22,0.25,214.1
Post 200 Random Products,144,1488,782,2392,535.82,41.667%,1.19692,0.26,0.28,224.2
Delete All Products,200,107,1,2041,403.68,35.000%,13.49983,2.32,2.60,175.8
TOTAL,1203,1040,1,2392,611.13,32.419%,8.91818,4.84,1.65,555.6
