Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Delete 200 Random Products,560,45,1,672,42.18,33.393%,4.66807,0.79,1.03,173.0
Get 200 Random Products,1220,31,1,177,26.82,36.148%,10.16785,2.51,1.38,252.7
Get Top k Products,1199,35,1,188,29.13,0.000%,10.00292,8.23,1.44,842.4
Get Product List,617,34,1,149,29.13,0.000%,5.15597,17.33,0.68,3441.8
Post 100 Products,100,83,1,754,96.54,19.000%,7.53693,1.58,1.77,214.5
Post 200 Random Products,1171,41,1,780,44.09,62.596%,9.77813,2.22,2.30,232.2
Rate 200 Random Products,558,44,1,252,38.71,35.125%,4.66922,1.16,1.19,253.5
Update 200 Random Products,567,47,1,623,51.11,31.217%,4.74517,1.16,1.11,249.9
Delete All Products,200,33,1,93,26.24,27.000%,17.58860,2.80,3.39,163.2
TOTAL,6192,39,1,780,39.10,29.183%,47.02773,30.77,8.78,669.9
