Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get Product List,605,35,0,1845,98.09,0.000%,5.05548,17.14,0.67,3471.8
Get Top k Products,1252,37,1,3980,166.53,0.000%,10.43838,9.26,1.50,908.7
Post 200 Random Products,1192,39,1,3899,169.78,63.171%,9.98275,2.38,2.34,243.9
Get 200 Random Products,1236,33,0,1972,89.77,33.414%,10.32116,2.54,1.41,251.7
Delete 200 Random Products,615,39,0,3978,169.40,37.561%,5.13591,0.90,1.13,179.5
Post 100 Products,100,72,1,868,135.17,17.000%,9.01307,2.11,2.11,239.4
Rate 200 Random Products,609,38,1,3942,166.90,37.110%,5.10491,1.27,1.30,254.3
Update 200 Random Products,591,34,0,1768,91.63,29.103%,4.92648,1.09,1.16,227.3
Delete All Products,200,15,0,74,17.93,31.000%,20.01201,3.31,3.86,169.5
TOTAL,6400,36,0,3980,140.63,29.281%,49.11667,32.21,9.21,671.5
