Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get Product List,693,5,0,843,33.66,0.000%,5.79088,19.54,0.77,3455.2
Get Top k Products,1404,5,0,918,33.84,0.000%,11.71288,10.40,1.68,909.6
Delete 200 Random Products,709,5,0,1181,45.61,36.389%,5.91607,1.03,1.30,177.7
Get 200 Random Products,1364,5,0,924,33.80,37.463%,11.39630,2.82,1.55,253.2
Rate 200 Random Products,727,6,0,937,36.96,38.790%,6.07890,1.51,1.55,255.1
Update 200 Random Products,704,6,0,1157,45.74,32.955%,5.87798,1.32,1.38,229.7
Post 200 Random Products,1367,7,0,1326,43.68,63.497%,11.39385,2.71,2.68,243.9
Post 100 Products,100,26,1,1046,128.19,19.000%,9.48317,2.22,2.22,239.6
Delete All Products,200,1,0,43,3.02,35.500%,21.88423,3.77,4.22,176.5
TOTAL,7268,6,0,1326,40.96,30.834%,56.25910,36.91,10.59,671.8
