Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get Top k Products,1454,3,1,103,7.20,0.000%,12.12556,10.01,1.74,845.6
Delete 200 Random Products,658,14,1,6506,253.33,35.106%,5.49666,0.94,1.21,175.7
Update 200 Random Products,697,14,1,6506,246.25,28.407%,5.82012,1.42,1.37,249.0
Rate 200 Random Products,714,4,0,114,9.63,36.134%,5.95283,1.48,1.51,254.0
Post 200 Random Products,1455,4,1,99,7.67,66.804%,12.13916,2.77,2.85,233.9
Post 100 Products,100,5,1,118,12.44,20.000%,10.48988,2.20,2.46,214.9
Get Product List,723,3,0,118,7.75,0.000%,6.04096,20.40,0.80,3458.0
Get Top k Access,719,5,2,117,8.15,0.000%,6.01789,87.55,0.86,14897.5
Get 200 Random Products,1333,13,0,6519,252.08,34.134%,11.14660,2.74,1.52,251.9
Delete All Products,200,3,1,117,9.11,32.000%,22.72211,3.80,4.38,171.1
TOTAL,8053,7,0,6519,145.17,27.294%,62.26659,118.12,11.47,1942.5
