Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get Top k Access,711,9,1,414,22.58,0.000%,5.93073,29.85,0.85,5153.7
Rate 200 Random Products,709,14,1,540,31.91,37.800%,5.92879,1.47,1.51,254.6
Get 200 Random Products,1392,10,1,547,25.93,32.615%,11.63063,2.85,1.58,251.3
Post 100 Products,100,39,3,855,89.51,77.000%,9.96115,2.31,2.33,237.8
Delete 200 Random Products,715,13,1,906,39.47,33.986%,5.97586,1.01,1.32,173.9
Post 200 Random Products,1379,12,1,967,33.12,65.845%,11.51152,2.63,2.70,233.5
Get Top k Products,1320,10,1,1041,43.28,0.000%,11.01469,9.15,1.58,850.9
Get Product List,679,11,1,1124,46.55,0.000%,5.66669,19.39,0.75,3504.3
Update 200 Random Products,701,14,1,1056,46.68,30.956%,5.85044,1.43,1.37,249.8
Delete All Products,200,4,1,48,5.09,35.500%,20.25522,3.49,3.91,176.5
TOTAL,7906,12,1,1124,37.36,28.308%,60.85939,62.98,11.23,1059.7
