Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get Top k Access,714,7,1,464,22.78,0.000%,5.96222,17.66,0.86,3033.2
Get 200 Random Products,889,105,1,754,164.04,31.946%,7.40056,1.81,1.01,251.1
Update 200 Random Products,506,76,1,751,102.58,24.308%,4.22953,1.02,0.99,247.5
Rate 200 Random Products,687,9,1,734,32.02,32.169%,5.73968,1.41,1.46,252.3
Delete 200 Random Products,493,78,1,912,104.34,29.817%,4.12101,0.67,0.91,167.5
Get Product List,716,8,1,720,30.69,0.000%,5.99208,20.21,0.80,3454.2
Get Top k Products,1389,8,1,1081,40.68,0.000%,11.58349,9.56,1.66,845.3
Post 100 Products,100,42,3,1420,152.39,22.000%,8.50919,1.79,1.99,215.7
Post 200 Random Products,1393,10,1,1091,38.93,70.495%,11.66110,2.68,2.74,235.4
Delete All Products,200,40,1,427,81.70,28.500%,18.51509,2.99,3.57,165.6
TOTAL,7087,32,1,1420,87.28,25.907%,54.15008,50.74,10.00,959.5
