Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get Top k Access,683,13,1,560,30.62,0.000%,5.71271,30.18,0.82,5409.0
Get 200 Random Products,1368,13,1,1045,39.00,28.655%,11.40837,2.78,1.55,249.9
Get Top k Products,1325,13,1,1141,46.88,0.000%,11.05521,9.20,1.59,852.4
Get Product List,654,14,1,1143,49.91,0.000%,5.45373,18.66,0.72,3504.3
Post 100 Products,100,62,3,1577,185.45,63.000%,8.85975,2.01,2.08,232.2
Rate 200 Random Products,673,16,1,1624,66.03,28.232%,5.61624,1.38,1.43,250.7
Delete 200 Random Products,671,17,1,1644,67.99,31.744%,5.60021,0.93,1.23,170.4
Post 200 Random Products,1384,14,1,1818,62.04,69.581%,11.54132,2.65,2.71,235.0
Update 200 Random Products,667,17,1,1698,71.13,27.886%,5.57012,1.35,1.31,248.8
Delete All Products,200,4,1,63,6.48,35.000%,19.90644,3.42,3.84,175.8
TOTAL,7725,15,1,1818,57.70,26.887%,59.33043,62.18,10.94,1073.1
