Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get Product List,673,9,1,1081,71.22,0.000%,5.62253,19.24,0.75,3503.9
Get Top k Products,1428,5,1,1044,29.43,0.000%,11.92654,9.83,1.71,844.0
Post 100 Products,100,79,3,3014,432.15,2.000%,7.67460,1.56,1.80,207.7
Post 200 Random Products,117,1885,3,3100,1453.72,62.393%,.97119,0.22,0.23,232.2
Get 200 Random Products with Price,166,1288,2,3594,1490.22,33.133%,1.36812,0.34,0.21,252.5
Update 200 Random Products,140,711,3,3068,1258.70,22.857%,1.15203,0.28,0.27,246.8
Delete 200 Random Products,91,1186,2,3074,1461.87,37.363%,.74937,0.13,0.16,179.6
Rate 200 Random Products,88,1203,3,3084,1473.29,39.773%,.73076,0.18,0.19,255.5
Get 200 Random Products,168,1287,1,3073,1474.62,41.071%,1.38083,0.34,0.19,254.8
Get Top k Access,38,3025,3011,3105,20.80,100.000%,.30951,0.08,0.04,268.0
Delete All Products,111,965,3,3116,1395.51,31.532%,3.40648,0.57,0.66,170.3
TOTAL,3120,387,1,3594,998.14,11.955%,20.44883,24.31,3.25,1217.5
