Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get 200 Random Products,903,101,2,2196,129.42,23.588%,7.53222,1.82,1.03,248.1
Get Top k Access,480,82,3,2206,122.34,0.000%,4.00815,50.20,0.58,12826.2
Get Top k Products,1267,25,1,2637,107.77,0.000%,10.57640,8.84,1.52,855.8
Rate 200 Random Products,623,33,1,2704,117.79,22.472%,5.20472,1.26,1.32,248.6
Get Product List,665,25,1,2833,116.14,0.000%,5.54633,19.03,0.74,3514.2
Update 200 Random Products,476,85,1,2737,144.22,24.160%,3.98027,0.96,0.93,247.6
Delete 200 Random Products,465,85,2,2806,142.80,22.366%,3.87639,0.59,0.85,155.7
Post 100 Products,100,142,6,2773,366.72,98.000%,6.72993,1.62,1.58,246.3
Post 200 Random Products,1267,28,1,2688,107.00,75.927%,10.58807,2.46,2.49,237.5
Delete All Products,200,54,2,181,39.00,27.000%,15.88310,2.53,3.06,163.2
TOTAL,6446,53,1,2833,130.04,26.156%,48.60687,77.36,9.01,1629.7
