Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get 200 Random Products,207,1004,1,4117,1411.78,30.435%,1.69735,0.42,0.23,250.7
Get Top k Products,1250,29,1,3874,198.26,0.000%,10.44513,8.62,1.50,844.8
Post 100 Products,100,430,7,5738,1031.10,7.000%,2.72116,0.56,0.64,209.8
Get Product List,629,27,1,4407,227.61,0.000%,5.25454,18.01,0.70,3508.8
Delete 200 Random Products,93,1143,4,4587,1466.32,35.484%,.77203,0.13,0.17,176.6
Get Top k Access,38,3107,3013,4706,276.31,100.000%,.31000,0.08,0.04,268.0
Update 200 Random Products,140,698,4,5096,1258.60,20.000%,1.14878,0.28,0.27,245.9
Rate 200 Random Products,88,1240,5,5200,1499.59,37.500%,.71949,0.18,0.18,254.7
Post 200 Random Products,123,1808,5,6196,1555.35,55.285%,1.01418,0.23,0.24,229.5
Get 200 Random Products with Price,184,1166,9,7590,1574.27,34.783%,1.49942,0.37,0.23,253.2
Delete All Products,110,964,3,3030,1397.64,31.818%,3.36319,0.56,0.65,170.7
TOTAL,2962,431,1,7590,1057.92,12.458%,19.36353,22.43,3.10,1186.0
